STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density
Georgia,Fulton County,11622,"Census Tract 116.22, Fulton County, Georgia",16839556,302779,34.0438593,-84.1484169,9381,119167,9,368700,40966.66667,56
Georgia,Fulton County,11623,"Census Tract 116.23, Fulton County, Georgia",9132709,175825,34.022421,-84.1803637,10931,86622,6.7,314000,46865.67164,120
Georgia,Fulton County,11624,"Census Tract 116.24, Fulton County, Georgia",2666537,33581,34.0787883,-84.191633,4254,137068,9,459100,51011.11111,160
Georgia,Fulton County,11625,"Census Tract 116.25, Fulton County, Georgia",6019019,83230,34.0286753,-84.1956636,7155,120644,8.1,381400,47086.41975,119
Georgia,Fulton County,11626,"Census Tract 116.26, Fulton County, Georgia",5746688,51744,34.0619327,-84.1880255,6819,92853,7.2,268700,37319.44444,119
Georgia,Fulton County,11800,"Census Tract 118, Fulton County, Georgia",1870077,0,33.7709168,-84.4088781,3198,20638,3.9,77500,19871.79487,171
Georgia,Fulton County,11900,"Census Tract 119, Fulton County, Georgia",1530847,0,33.7539369,-84.382691,1814,30000,3.4,196200,57705.88235,118
Georgia,Fulton County,12000,"Census Tract 120, Fulton County, Georgia",2302198,0,33.7361403,-84.392823,2618,21597,4,176400,44100,114
Georgia,Fulton County,1201,"Census Tract 12.01, Fulton County, Georgia",567409,0,33.7763742,-84.380305,3160,49614,3.4,240200,70647.05882,557
Georgia,Fulton County,1202,"Census Tract 12.02, Fulton County, Georgia",481215,0,33.776784,-84.3851557,3445,72063,2.8,212200,75785.71429,716
Georgia,Fulton County,12300,"Census Tract 123, Fulton County, Georgia",3593693,0,33.6613396,-84.4394432,2316,32261,4.5,208900,46422.22222,64
Georgia,Fulton County,1300,"Census Tract 13, Fulton County, Georgia",1316971,0,33.7761933,-84.3715699,4472,66392,4.1,388500,94756.09756,340
Georgia,Fulton County,1400,"Census Tract 14, Fulton County, Georgia",722970,0,33.7770784,-84.3622634,2441,69473,3.7,344100,93000,338
Georgia,Fulton County,1500,"Census Tract 15, Fulton County, Georgia",1151121,0,33.776497,-84.3539007,4429,53246,3.4,439700,129323.5294,385
Georgia,Fulton County,1600,"Census Tract 16, Fulton County, Georgia",921682,2683,33.7676383,-84.3557938,2000,61497,3.7,351000,94864.86486,217
Georgia,Fulton County,1700,"Census Tract 17, Fulton County, Georgia",1247836,0,33.7659024,-84.3671952,2553,34942,3.8,316900,83394.73684,205
Georgia,Fulton County,1800,"Census Tract 18, Fulton County, Georgia",916983,0,33.7663445,-84.3780718,4192,35711,3.4,169300,49794.11765,457
