STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density,
New Jersey,Essex County,300,"Census Tract 3, Essex County, New Jersey",328040,0,40.7772757,-74.1782714,3253,17793,3.4,332700,97852.94118,991.6473601,
New Jersey,Essex County,3100,"Census Tract 31, Essex County, New Jersey",267907,0,40.73178,-74.1923583,1716,36791,4.9,241700,49326.53061,640.5207777,
New Jersey,Essex County,3500,"Census Tract 35, Essex County, New Jersey",253582,0,40.7332985,-74.2116668,2050,48309,5,278400,55680,808.4170012,
New Jersey,Essex County,3700,"Census Tract 37, Essex County, New Jersey",329235,0,40.7287221,-74.2078107,2112,34318,5,246200,49240,641.4870837,
New Jersey,Essex County,3800,"Census Tract 38, Essex County, New Jersey",573574,0,40.730776,-74.1997609,2286,39364,5,222200,44440,398.5536304,
New Jersey,Essex County,3900,"Census Tract 39, Essex County, New Jersey",308176,0,40.7270499,-74.1945932,1932,15364,4,212500,53125,626.9144904,
New Jersey,Essex County,400,"Census Tract 4, Essex County, New Jersey",179070,0,40.7743302,-74.1828893,2462,43125,4.3,244300,56813.95349,1374.881331,
New Jersey,Essex County,4100,"Census Tract 41, Essex County, New Jersey",347849,0,40.7246107,-74.2059732,2882,39167,5.6,250800,44785.71429,828.5204212,
New Jersey,Essex County,4200,"Census Tract 42, Essex County, New Jersey",290547,0,40.7256758,-74.2134293,2459,29271,5.5,243300,44236.36364,846.3346722,
New Jersey,Essex County,4300,"Census Tract 43, Essex County, New Jersey",377307,0,40.7186473,-74.2182756,2472,31728,4.7,309600,65872.34043,655.1693979,
New Jersey,Essex County,4400,"Census Tract 44, Essex County, New Jersey",221030,0,40.7142523,-74.2167455,1445,27311,4.7,237500,50531.91489,653.7574085,
New Jersey,Essex County,4500,"Census Tract 45, Essex County, New Jersey",504535,0,40.7108081,-74.223074,3145,44219,5.3,244900,46207.54717,623.3462495,
